city,title,location,price(L),rate_persqft,area_insqft,building_status,last_updated_date
Mumbai,2 BHK Apartment,Mahalaxmi,360.0,40000,900,Under Construction,2020-01-24
Mumbai,4 BHK Apartment,Powai,700.0,25000,2800,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Powai,320.0,29090,1100,Ready to move,2020-01-15
Mumbai,4 BHK Apartment,Powai,700.0,28282,2475,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Powai,675.0,32142,2100,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Powai,250.0,17897,1400,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Powai,198.0,17256,1150,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Powai,200.0,17467,1150,Under Construction,2020-01-15
Mumbai,4 BHK Apartment,Powai,435.0,17431,2500,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Powai,250.0,25853,967,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Powai,175.0,16365,1074,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Powai,220.00000000000003,20952,1050,Ready to move,2020-01-24
Mumbai,2 BHK Apartment,Powai,165.0,16923,975,Ready to move,2020-01-16
Mumbai,2 BHK Apartment,Powai,202.0,18913,1068,Under Construction,2020-01-16
Mumbai,3 BHK Apartment,Powai,199.0,16583,1200,Under Construction,2020-01-24
Mumbai,3 BHK Apartment,Powai,400.0,28571,1400,Ready to move,2020-01-15
Mumbai,1 BHK Apartment,Powai,135.0,20209,668,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Powai,800.0,38834,2060,Ready to move,2020-01-16
Mumbai,2 BHK Apartment,Powai,175.0,18134,965,Ready to move,2020-01-15
Mumbai,1 BHK Apartment,Ambernath East,29.0,4142,700,Ready to move,2020-01-15
Mumbai,1 BHK Apartment,Ambernath East,25.0,3816,655,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Ambernath East,36.0,3370,1068,Ready to move,2020-01-15
Mumbai,1 BHK Apartment,Ambernath East,38.0,5205,730,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Ambernath East,47.99,5332,900,Under Construction,2020-01-24
Mumbai,1 BHK Apartment,Ambernath East,35.0,6055,578,Under Construction,2020-01-24
Mumbai,1 BHK Apartment,Ambernath East,25.5,3695,690,Ready to move,2020-01-16
Mumbai,1 BHK Apartment,Ambernath East,15.9,3925,405,Under Construction,2020-01-15
Mumbai,4 BHK Apartment,Worli,704.0,31000,2274,Under Construction,2020-01-15
Mumbai,3 BHK Apartment,Worli,1600.0,40785,3923,Ready to move,2020-01-15
Mumbai,4 BHK Apartment,Worli,1800.0,47987,3751,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Worli,1100.0,34920,3150,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Worli,1024.0,33021,3101,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Worli,800.0,22870,3498,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Worli,1000.0,31496,3175,Ready to move,2020-01-24
Mumbai,4 BHK Apartment,Worli,1400.0,38888,3600,Ready to move,2020-01-15
Mumbai,4 BHK Apartment,Worli,1000.0,25575,3910,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Worli,625.0,29761,2100,Ready to move,2020-01-24
Mumbai,5 BHK Apartment,Worli,1300.0,23636,5500,Ready to move,2020-01-24
Mumbai,4 BHK Apartment,Worli,1000.0,22222,4500,Ready to move,2020-01-24
Mumbai,2 BHK Apartment,Juhu,350.0,29166,1200,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Juhu,50.0,5000,1000,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Juhu,245.00000000000003,24500,1000,Ready to move,2020-01-15
Mumbai,1 BHK Apartment,Juhu,195.0,27857,700,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Juhu,800.0,48484,1650,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Juhu,235.0,23500,1000,Ready to move,2020-01-15
