,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price_2019,Status,Transaction,Type,PricePerSqft
715,1200,2,2,Unfurnished,Alaknanda,1,14300000,Ready_to_move,Resale,Apartment,11538
716,1300,3,2,Unfurnished,Alaknanda,1,18500000,Ready_to_move,Resale,Apartment,11538
717,1400,3,3,Furnished,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,11538
718,1400,3,3,Semi-Furnished,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,11538
719,1500,3,2,,Sarita Vihar,1,13500000,Ready_to_move,Resale,,
720,1600,4,2,Semi-Furnished,Sarita Vihar,2,15800000,Ready_to_move,Resale,Apartment,
722,1600,4,2,Semi-Furnished,Sarita Vihar,1,15500000,Ready_to_move,Resale,Apartment,
723,1250,3,2,Semi-Furnished,Sarita Vihar,2,16000000,Ready_to_move,Resale,Apartment,
724,950,2,2,Furnished,Sarita Vihar,2,12900000,Ready_to_move,Resale,Apartment,
725,1200,3,3,Furnished,Sarita Vihar,2,13500000,Ready_to_move,Resale,Apartment,
726,1400,4,2,Furnished,Sarita Vihar,2,17800000,Ready_to_move,Resale,Apartment,
727,950,2,2,Furnished,Sarita Vihar,2,13200000,Ready_to_move,Resale,Apartment,
728,1350,3,3,Semi-Furnished,Sarita Vihar,2,14000000,Ready_to_move,Resale,Apartment,
729,1550,4,2,Furnished,Sarita Vihar,2,17500000,Ready_to_move,Resale,Apartment,
730,1300,3,2,Semi-Furnished,Sarita Vihar,2,17000000,Ready_to_move,Resale,Apartment,
731,1000,2,2,Furnished,Sarita Vihar,2,13000000,Ready_to_move,Resale,Apartment,
732,1500,3,3,Furnished,Sarita Vihar,2,17000000,Ready_to_move,Resale,Apartment,
733,950,2,2,Furnished,Sarita Vihar,2,12700000,Ready_to_move,Resale,Apartment,
734,1200,3,2,Furnished,Sarita Vihar,2,13500000,Ready_to_move,Resale,Apartment,
735,1400,4,2,Furnished,Sarita Vihar,2,17400000,Ready_to_move,Resale,Apartment,
736,1500,4,2,Furnished,Sarita Vihar,2,17800000,Ready_to_move,Resale,Apartment,
737,1050,2,2,Furnished,Sarita Vihar,2,12700000,Ready_to_move,Resale,Apartment,
738,1550,4,2,Furnished,Sarita Vihar,2,16200000,Ready_to_move,Resale,Apartment,
739,950,2,2,Furnished,Sarita Vihar,2,11100000,Ready_to_move,Resale,Apartment,
740,1150,2,2,Furnished,Sarita Vihar,2,13600000,Ready_to_move,Resale,Apartment,
741,1150,2,2,Furnished,Sarita Vihar,2,13100000,Ready_to_move,Resale,Apartment,
742,1150,2,2,Furnished,Sarita Vihar,2,12500000,Ready_to_move,Resale,Apartment,
743,1500,3,2,Furnished,Sarita Vihar,2,13600000,Ready_to_move,Resale,Apartment,
746,1150,2,2,Unfurnished,Sarita Vihar,1,13500000,Ready_to_move,Resale,Apartment,15384
747,1500,3,2,Unfurnished,Sarita Vihar,1,14000000,Ready_to_move,Resale,Apartment,15384
748,1150,2,2,Semi-Furnished,Sarita Vihar,2,10800000,Ready_to_move,Resale,Apartment,15384
779,950,3,2,Semi-Furnished,Chhattarpur,,7090000,Almost_ready,New_Property,Builder_Floor,
780,3600,2,2,Semi-Furnished,Chhattarpur,1,4500000,Ready_to_move,New_Property,Builder_Floor,
781,1305,4,3,Unfurnished,Chhattarpur,1,5500000,Almost_ready,New_Property,Builder_Floor,
782,1800,3,4,Semi-Furnished,Chhattarpur,2,63000000,Almost_ready,New_Property,Apartment,
783,950,3,2,Semi-Furnished,Chhattarpur,2,6990000,Almost_ready,New_Property,Builder_Floor,
784,800,2,2,Semi-Furnished,Chhattarpur,1,4400000,Ready_to_move,New_Property,Apartment,
785,1800,4,4,Semi-Furnished,Chhattarpur,1,12500000,Ready_to_move,Resale,Builder_Floor,
786,800,2,2,Semi-Furnished,Chhattarpur,1,3000000,Ready_to_move,New_Property,Builder_Floor,
787,675,2,2,Semi-Furnished,Chhattarpur,1,2800000,Ready_to_move,New_Property,Builder_Floor,
788,1175,3,3,Unfurnished,Chhattarpur,4,5000000,Almost_ready,New_Property,Builder_Floor,
789,1500,3,3,Unfurnished,Chhattarpur,4,6000000,Ready_to_move,Resale,Builder_Floor,
790,810,2,2,Unfurnished,Chhattarpur,4,4500000,Ready_to_move,Resale,Apartment,
791,630,2,2,Unfurnished,Chhattarpur,1,2800000,Ready_to_move,Resale,Apartment,
792,650,2,2,Semi-Furnished,Chhattarpur,1,2500000,Ready_to_move,Resale,Builder_Floor,
793,1800,4,4,Semi-Furnished,Chhattarpur,1,8500000,Ready_to_move,New_Property,Builder_Floor,
794,725,2,2,Furnished,Chhattarpur,1,3000000,Ready_to_move,Resale,Apartment,4138
795,900,3,2,Semi-Furnished,Chhattarpur,1,4900000,Ready_to_move,New_Property,Builder_Floor,4138
796,750,2,2,Unfurnished,Chhattarpur,1,3500000,Ready_to_move,New_Property,Builder_Floor,4138
797,700,2,2,Semi-Furnished,Chhattarpur,1,3000000,Ready_to_move,New_Property,Builder_Floor,4138
798,950,3,2,Semi-Furnished,Chhattarpur,1,7020000,Almost_ready,New_Property,Builder_Floor,4138
799,1600,3,4,Unfurnished,Chhattarpur,1,60000000,Almost_ready,New_Property,Apartment,4138
800,900,2,2,Semi-Furnished,Chhattarpur,1,3500000,Ready_to_move,New_Property,Builder_Floor,4138
801,1500,3,3,Semi-Furnished,Chhattarpur,1,7000000,Ready_to_move,New_Property,Builder_Floor,4138
802,500,2,1,Semi-Furnished,Chhattarpur,2,7000000,Ready_to_move,Resale,Apartment,4138
803,1035,3,3,Semi-Furnished,Chhattarpur,1,4500000,Ready_to_move,New_Property,Builder_Floor,4138
804,825,3,2,Semi-Furnished,Chhattarpur,1,5990000,Ready_to_move,New_Property,Builder_Floor,4138
805,1300,3,3,Semi-Furnished,Chhattarpur,1,4400000,Ready_to_move,New_Property,Builder_Floor,4138
806,765,2,2,Unfurnished,Chhattarpur,4,2500000,Ready_to_move,New_Property,Builder_Floor,4138
807,580,1,1,Semi-Furnished,Chhattarpur,1,1600000,Ready_to_move,New_Property,Builder_Floor,4138
808,1750,3,3,Semi-Furnished,Chhattarpur,1,6500000,Ready_to_move,New_Property,Builder_Floor,4138
929,450,1,1,Unfurnished,Dilshad Garden,,3300000,Ready_to_move,Resale,Apartment,
930,750,2,1,Unfurnished,Dilshad Garden,,7350000,Ready_to_move,Resale,Apartment,
931,1500,4,1,Unfurnished,Dilshad Garden,,12500000,Ready_to_move,Resale,Apartment,
932,400,1,1,Semi-Furnished,Dilshad Garden,1,3500000,Ready_to_move,Resale,Apartment,
933,650,2,2,Unfurnished,Dilshad Garden,1,6500000,Ready_to_move,Resale,Builder_Floor,
934,900,2,2,Furnished,Dilshad Garden,2,6900000,Ready_to_move,Resale,Builder_Floor,7666
935,400,1,1,Unfurnished,Dilshad Garden,1,3600000,Ready_to_move,Resale,Builder_Floor,7666
936,900,3,2,Semi-Furnished,Dilshad Garden,2,13500000,Ready_to_move,Resale,Apartment,7666
937,1000,3,2,Furnished,Dilshad Garden,1,9200000,Ready_to_move,Resale,Apartment,9200
938,405,1,1,Unfurnished,Dilshad Garden,1,2500000,Ready_to_move,Resale,Apartment,9200
939,1700,3,2,Furnished,Dilshad Garden,1,17000000,Ready_to_move,Resale,Apartment,9200
940,800,3,2,Semi-Furnished,Dilshad Garden,1,9030000,Ready_to_move,Resale,Apartment,9200
941,1076.39,3,2,Unfurnished,Dilshad Garden,4,9300000,Ready_to_move,Resale,Builder_Floor,8640
942,750,2,1,Semi-Furnished,Dilshad Garden,2,6500000,Ready_to_move,New_Property,Apartment,8640
943,460,2,1,Unfurnished,Dilshad Garden,2,3300000,Ready_to_move,Resale,Builder_Floor,8640
944,370,1,1,Unfurnished,Dilshad Garden,2,2400000,Ready_to_move,Resale,Builder_Floor,6486
945,1800,3,3,Semi-Furnished,Dilshad Garden,1,15000000,Ready_to_move,New_Property,Builder_Floor,8333
946,1080,3,1,Unfurnished,Dilshad Garden,1,7000000,Ready_to_move,New_Property,Apartment,8333
947,350,1,1,Unfurnished,Dilshad Garden,1,4200000,Ready_to_move,Resale,Apartment,12000
948,500,2,1,Furnished,Dilshad Garden,1,5800000,Ready_to_move,Resale,Apartment,12000
949,900,3,2,Semi-Furnished,Dilshad Garden,1,4800000,Ready_to_move,Resale,Apartment,12000
950,800,2,2,Semi-Furnished,Dilshad Garden,1,7500000,Ready_to_move,Resale,Apartment,9375
951,350,1,1,Unfurnished,Dilshad Garden,1,3000000,Ready_to_move,Resale,Apartment,9375
